id,listing_url,scrape_id,last_scraped,source,name,description,neighborhood_overview,picture_url,host_id,host_url,host_name,host_since,host_location,host_about,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_thumbnail_url,host_picture_url,host_neighbourhood,host_listings_count,host_total_listings_count,host_verifications,host_has_profile_pic,host_identity_verified,neighbourhood,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bathrooms_text,bedrooms,beds,amenities,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,calendar_updated,has_availability,availability_30,availability_60,availability_90,availability_365,calendar_last_scraped,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,license,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month
199568,https://www.airbnb.com/rooms/199568,20240625175528,2024-06-25,city scrape,Garden studio apt,"Light and roomy, opening onto garden, this apartment is private, quiet and secure.  The spacious  bedroom/ sitting room opens onto a private garden patio that can be enjoyed year-round. The bookshelf-lined den with a couch, TV, dining area, and gas fireplace is welcoming.<br />The apartment includes a kitchen/laundry room and bathroom.  Close to downtown and to bike and walking trails. Special pricing available for monthly or longer stays.","There are 2 good-sized parks nearby, hilly neighborhoods and the many services within a mile or so, including a popular brewpub/distinctive Mexican eatery.  After your arrival here, it is not necessary to drive everywhere to enjoy this simple family neighborhood, and the greenness of the area.  Extended bike/walking paths lead across the river and south through green areas, with extended distance for a peaceful outdoors workout.",https://a0.muscache.com/pictures/f62ce7d3-7813-4c50-a346-6f581981df3a.jpg,974919,https://www.airbnb.com/users/show/974919,Sara,2011-08-15,"Salem, OR","An avid traveler and lover of the outdoors, I taught adult literacy and English to non-native speakers.   I enjoy winter skiing,  summer hiking , road trips or river trips, music, reading and favorite small children.  History, gardening, poetry and literature, food, agriculture are some of my interests.  Turkey, Greece, Ukraine, Mexico, Switzerland and France are places I've settled in for several weeks at a time.  In fact, staying in one place while exploring all around suits me better than continuous travel, and that's the experience I'd like to enable as a host.  Salem itself has much to offer besides options for scenic day trips: to the Pacific, to wineries of all sorts, cities north and south (Portland and Eugene), the Columbia Gorge and Mt Hood, waterfalls and forests, art galleries and museums.
One of my strengths is connecting folks with resources and opportunities.  At work, that's been my focus in helping newcomers with cultural adjustment.  Helping guests get the most from their time here appeals to me.  I also value independence and privacy, so knowing what guests prefer can make a good stay for us both. 
",within a few hours,100%,83%,t,https://a0.muscache.com/im/users/974919/profile_pic/1314473925/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/974919/profile_pic/1314473925/original.jpg?aki_policy=profile_x_medium,,2,4,"['email', 'phone']",t,f,Neighborhood highlights,Ward 1,,44.95192,-123.05614,Entire guest suite,Entire home/apt,2,1.0,1 bath,1,1,"[""Clothing storage: closet and dresser"", ""Bed linens"", ""Wine glasses"", ""Dryer"", ""Freezer"", ""Kitchen"", ""Blender"", ""Outdoor dining area"", ""Free driveway parking on premises"", ""Carbon monoxide alarm"", ""Body soap"", ""Ceiling fan"", ""Drying rack for clothing"", ""Refrigerator"", ""BBQ grill"", ""Single level home"", ""Cleaning products"", ""AC - split type ductless system"", ""Fire extinguisher"", ""Hot water"", ""Washer"", ""Stove"", ""Kayak"", ""Toaster"", ""Rice maker"", ""Shampoo"", ""Private entrance"", ""Books and reading material"", ""Barbecue utensils"", ""Indoor fireplace: gas"", ""Mini fridge"", ""Hair dryer"", ""Pack \u2019n play/Travel crib"", ""Dishes and silverware"", ""Extra pillows and blankets"", ""TV"", ""Hangers"", ""Long term stays allowed"", ""Dining table"", ""Portable fans"", ""Fireplace guards"", ""Smoke alarm"", ""Dedicated workspace"", ""Coffee"", ""Conditioner"", ""Board games"", ""Microwave"", ""Essentials"", ""Children\u2019s books and toys"", ""Private backyard \u2013 Fully fenced"", ""Luggage dropoff allowed"", ""Cooking basics"", ""Private patio or balcony"", ""Outlet covers"", ""Wifi"", ""Babysitter recommendations"", ""Baby safety gates"", ""Heating"", ""Outdoor furniture"", ""Host greets you"", ""Children\u2019s dinnerware"", ""Coffee maker: Keurig coffee machine, pour-over coffee"", ""First aid kit"", ""Iron"", ""Hot water kettle""]",$97.00,3,100,3,3,100,100,3.0,100.0,,t,9,39,69,69,2024-06-25,201,9,1,2011-08-29,2024-05-31,4.9,4.92,4.93,4.96,4.96,4.87,4.92,,f,1,1,0,0,1.29
5021839,https://www.airbnb.com/rooms/5021839,20240625175528,2024-06-25,previous scrape,Southtown Cottage,"Cute fully furnished house! Fresh bright paint, large open kitchen, and fenced yard. HVAC unit gives great cooling in the summer and heating in the winter! Garage conversion for partial bonus room. Second bed is a pull-out couch in living room.<br /><br />House is located on a secluded looped street, 7 minutes from hospital and 5 minutes from downtown Salem. The home is surrounded by a big yard on all sides. Indoor washer and dryer included in unit, off street parking available. Thanks! sean",,https://a0.muscache.com/pictures/miso/Hosting-5021839/original/7284e792-7b1a-4418-962f-4cd60f08cc83.jpeg,25909376,https://www.airbnb.com/users/show/25909376,Sean,2015-01-10,"Salem, OR","",N/A,N/A,N/A,f,https://a0.muscache.com/im/pictures/user/746b75a1-3bdd-4640-a0db-af1f179690ba.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/746b75a1-3bdd-4640-a0db-af1f179690ba.jpg?aki_policy=profile_x_medium,South Salem,1,1,"['email', 'phone']",t,t,,Ward 7,,44.90964,-123.04896,Entire home,Entire home/apt,4,,1 bath,2,,"[""Washer"", ""Air conditioning"", ""Wifi"", ""Fire pit"", ""Kitchen"", ""Heating"", ""Free parking on premises"", ""Carbon monoxide alarm"", ""Pets allowed"", ""Smoke alarm"", ""Dedicated workspace"", ""Refrigerator"", ""Backyard"", ""TV""]",,3,1125,3,3,1125,1125,3.0,1125.0,,t,0,0,0,0,2024-06-25,3,0,0,2022-12-12,2023-03-24,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,f,1,1,0,0,0.16
7293821,https://www.airbnb.com/rooms/7293821,20240625175528,2024-06-25,city scrape,Chauffeurs Room @ the Villa,"NEWLY RENOVATED! Our home is in the quaint historic Fairmount Hills Neighborhood. This loft is great for business travelers, couples, and solo adventurers. We are close to Downtown, Bush Park, Salem Hospital, Willamette University,  and Convention Center. We are also a great home base  for exploring wineries and other communities. Our neighborhood is a safe place to walk and explore and our property has security cameras to enhance your safety.","Safe, quiet community, historic neighborhood. The studio is a few blocks from the Salem Art Fair, a short walk to eateries, museums, library, parks, Salem Hospital, Willamette University and the Capitol. This is wine country and we will be happy to share our favorites for you to visit.",https://a0.muscache.com/pictures/miso/Hosting-7293821/original/a10ac311-5406-4281-8c2c-5717b07b6d46.jpeg,38202007,https://www.airbnb.com/users/show/38202007,Julie,2015-07-11,"Salem, OR","We are an active couple that loves our home, neighborhood and surrounding area. We love the solitude of hiking and the warmth of an evening surrounded by family and friends. ",within an hour,100%,100%,t,https://a0.muscache.com/im/pictures/user/1e803e60-ae1c-4e3d-953f-d6bef834b220.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/1e803e60-ae1c-4e3d-953f-d6bef834b220.jpg?aki_policy=profile_x_medium,,1,2,"['email', 'phone']",t,t,Neighborhood highlights,Ward 7,,44.92547,-123.04879,Entire guest suite,Entire home/apt,2,1.0,1 bath,0,1,"[""Bed linens"", ""Coffee maker"", ""Exterior security cameras on property"", ""Lockbox"", ""Kitchen"", ""Carbon monoxide alarm"", ""Refrigerator"", ""BBQ grill"", ""Self check-in"", ""Fire extinguisher"", ""Hot water"", ""Air conditioning"", ""Private entrance"", ""Shampoo"", ""Hair dryer"", ""Pack \u2019n play/Travel crib"", ""Dishes and silverware"", ""Extra pillows and blankets"", ""Free street parking"", ""Hangers"", ""Backyard"", ""TV with standard cable"", ""Smoke alarm"", ""Microwave"", ""Essentials"", ""Breakfast"", ""Luggage dropoff allowed"", ""Cooking basics"", ""Wifi"", ""Heating"", ""Free parking on premises"", ""Patio or balcony"", ""First aid kit"", ""Iron""]",$94.00,2,14,2,5,14,14,2.1,14.0,,t,6,22,52,142,2024-06-25,408,15,3,2015-07-19,2024-06-17,4.96,4.98,4.98,4.98,4.99,4.98,4.9,,f,1,1,0,0,3.75
8524259,https://www.airbnb.com/rooms/8524259,20240625175528,2024-06-25,city scrape,Single room in Comfort Home,"Comfort Home was initially established for traveling medical professionals for Salem Health where I am the Clinical Excellence Coordinator. I provide discounts to RNs and other disciplines.  I also rent to diverse guests and have enjoyed learning from everyone I've met.  This home is perfect for sharing as I live in one section, the rooms are on the opposite side and our common space is perfect for everyone.  I look forward to interacting should you be interested in making a request.","Well established high end neighborhood with very friendly neighbors. Located on a cul-de-sac with adequate parking and little traffic so it is very quiet.  Feels like a mountain resort due to the large and dense oak and pine trees.  Back yard opens into quiet and beautiful neighborhood park.  <br /><br />10 minutes from I-5<br />Sunnyslope Shopping Center is a short walk from my home and has a wonderful grocery store (Roth's), U.S. Bank, restaurants, frozen yogurt shop, hair and nail salon, and more. Also within walking distance is a Walgreens, post office, gift shop and bakery.  4 miles from downtown Salem.  Blocks from gas station.",https://a0.muscache.com/pictures/948454d8-c934-4037-9ca8-a7ce44b30259.jpg,2421461,https://www.airbnb.com/users/show/2421461,Nancy,2012-05-20,"Salem, OR","I have lived in this home 21 years and have truly made it comfortable to both me and my guests.  The house is perfectly designed to accommodate guests as we built the 2-story extension that I live in upstairs which provides privacy for both myself and my guests.  My guests and I commonly share the downstairs which includes the kitchen, dining and living room, gym and back yard where there is a hot tub.",within an hour,100%,N/A,f,https://a0.muscache.com/im/pictures/user/a4ab6d28-1f6d-4e58-be41-4f64594048da.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/a4ab6d28-1f6d-4e58-be41-4f64594048da.jpg?aki_policy=profile_x_medium,,3,3,"['email', 'phone']",t,t,Neighborhood highlights,Ward 7,,44.88991,-123.06846,Private room in home,Private room,1,1.0,1 shared bath,1,1,"[""Dryer"", ""Exterior security cameras on property"", ""Lockbox"", ""Outdoor dining area"", ""Carbon monoxide alarm"", ""BBQ grill"", ""Self check-in"", ""Fire extinguisher"", ""Washer"", ""Hot water"", ""Air conditioning"", ""Private entrance"", ""Shampoo"", ""Hair dryer"", ""TV"", ""Free street parking"", ""Smoke alarm"", ""Dedicated workspace"", ""Essentials"", ""Wifi"", ""Free parking on premises"", ""Outdoor furniture"", ""Host greets you"", ""Iron""]",$65.00,1,120,1,1,120,120,1.0,120.0,,t,0,0,0,206,2024-06-25,3,0,0,2017-08-21,2021-04-21,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,f,2,0,2,0,0.04
9238563,https://www.airbnb.com/rooms/9238563,20240625175528,2024-06-25,city scrape,Spacious Suite w/ Private Sauna and AC in City,"Beautiful, large 770 sq. ft. private Suite, with own key entry.  Sparkling clean, upscale comfortable, you'll feel pampered right away.  <br /><br />Bedroom with en-suite and private sauna, full size living room, kitchenette.  Clutter-free space with garden patio and BBQ.  Convenient West Salem location, very close to downtown and Willamette U., Salem Hospital, wineries, shops and parks.<br /><br />Fully licensed and compliant with City of Salem codes.","Explore wineries, waterfalls and the spectacular Oregon coast from your lovely and quiet West Salem location.  The Suite is within walking distance of shops and restaurants.  Only 2 miles to Capitol, Willamette University and downtown area.  Lots of trees and parks in neighborhood.  Beautiful hiking opportunities abound including ""Silver Falls"" which boasts 10 glorious waterfalls and miles of hiking trails.  Willamette Valley wineries including ""Wine Spectator"" top 100 picks will delight you.  Dozens of fabulous wineries in Salem and even more a short drive away.  The beach is only 45 minutes away.  One hour from Portland and airport.",https://a0.muscache.com/pictures/miso/Hosting-9238563/original/1e48719b-dcb1-46e8-8b50-c618082c3a3e.jpeg,48017737,https://www.airbnb.com/users/show/48017737,Steve & Robin,2015-11-02,,"We love the Pacific Northwest!  Beautiful trees, parks, wineries and cultural activities abound.  Our new retreat/apartment will amaze you.  It's 770 sq ft. of gorgeous, quiet space and is an incredible value.  House hunting?  Visiting faculty?  This is the perfect home for you.

We are former long-term residents of Santa Cruz, California and never thought we could love anyplace as much--but we found out we love Salem and the Pacific Northwest even more!  We are voracious readers, faith and family are very important to us and we love to cook, entertain and visit wineries.  

We have a very large house because we have 5 grown children who we hope will visit--but our kids have very busy lives all over the country--In the meantime, we'd love to share our home with you.",within an hour,100%,100%,f,https://a0.muscache.com/im/pictures/user/ad3724e7-d6fb-4a23-93f7-661aef8e25d6.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/ad3724e7-d6fb-4a23-93f7-661aef8e25d6.jpg?aki_policy=profile_x_medium,,1,3,"['email', 'phone']",t,f,Neighborhood highlights,Ward 1,,44.95392,-123.0547,Entire guest suite,Entire home/apt,4,1.0,1 bath,1,2,"[""Bed linens"", ""Coffee maker"", ""Wine glasses"", ""BBQ grill: gas"", ""Exterior security cameras on property"", ""Freezer"", ""Kitchen"", ""Outdoor dining area"", ""Lockbox"", ""Room-darkening shades"", ""Carbon monoxide alarm"", ""Refrigerator"", ""Self check-in"", ""Cleaning products"", ""Clothing storage: walk-in closet"", ""Fire extinguisher"", ""Hot water"", ""Private entrance"", ""Shampoo"", ""Books and reading material"", ""Shower gel"", ""Barbecue utensils"", ""Ethernet connection"", ""Mini fridge"", ""Free driveway parking on premises \u2013 1 space"", ""Hair dryer"", ""Mrs. Meyers Clean Day body soap"", ""Pack \u2019n play/Travel crib"", ""Dishes and silverware"", ""Extra pillows and blankets"", ""Garden view"", ""Hangers"", ""Long term stays allowed"", ""Dining table"", ""HDTV with Amazon Prime Video, Netflix, Roku, standard cable"", ""Portable fans"", ""Smoke alarm"", ""Indoor fireplace: electric"", ""Dedicated workspace"", ""Conditioner"", ""Coffee"", ""Portable heater"", ""Board games"", ""Microwave"", ""Essentials"", ""Private backyard \u2013 Fully fenced"", ""Fast wifi \u2013 265 Mbps"", ""Breakfast"", ""Luggage dropoff allowed"", ""Cooking basics"", ""Private patio or balcony"", ""Central air conditioning"", ""Outdoor furniture"", ""Private sauna"", ""First aid kit"", ""Iron"", ""Central heating"", ""Hot water kettle""]",$104.00,2,66,2,2,1125,1125,2.0,1125.0,,t,0,16,41,131,2024-06-25,420,18,5,2015-11-28,2024-06-23,4.9,4.95,4.99,4.97,4.96,4.91,4.89,,f,1,1,0,0,4.02
9477671,https://www.airbnb.com/rooms/9477671,20240625175528,2024-06-25,previous scrape,Stylish Urban Guest Retreat,"Enjoy our private, clean, comfortable, renovated guest quarters close to downtown Salem. We are on the city bicycle route in a vintage, tree-lined neighborhood close to amenities. We offer a relaxing outdoor space and fully fenced yard.","We are on the city bicycle route in a historic, tree-lined neighborhood. Walk to the Salem Farmer’s Market, Broadway Coffee House, McMenamins Boon's Treasury, and more. We are also a mile from downtown and a short drive to Willamette University.",https://a0.muscache.com/pictures/miso/Hosting-9477671/original/8387e83a-4c77-4981-aabf-7e4327d535f1.jpeg,14797761,https://www.airbnb.com/users/show/14797761,Leigh,2014-04-27,"Salem, OR","Robert and I are avid campers and enjoy living in the Pacific Northwest. Although we love to travel, it is hard to leave the area as there are so many beautiful places to enjoy. We have a grown son and are dog lovers, love coffee, books, and always a great conversation around a camp fire. I am also a Realtor in Salem, so if you have any questions or needs, just let me know how I can help!",within an hour,100%,99%,t,https://a0.muscache.com/im/pictures/user/7df249cf-0449-4b7e-982a-81742b272d68.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/7df249cf-0449-4b7e-982a-81742b272d68.jpg?aki_policy=profile_x_medium,,1,1,"['email', 'phone']",t,t,Neighborhood highlights,Ward 1,,44.95675,-123.02419,Entire guesthouse,Entire home/apt,2,,1 bath,1,,"[""Coffee maker: Keurig coffee machine"", ""Bed linens"", ""Wine glasses"", ""Trader Joes shampoo"", ""Lockbox"", ""Carbon monoxide alarm"", ""Ceiling fan"", ""Clothing storage: wardrobe"", ""Self check-in"", ""Single level home"", ""Local hand crafted and anti-bacterial provided.  body soap"", ""Cleaning products"", ""Heating - split type ductless system"", ""AC - split type ductless system"", ""Fire extinguisher"", ""Hot water"", ""Shared patio or balcony"", ""Private entrance"", ""Mini fridge"", ""Hair dryer"", ""Fire pit"", ""Dishes and silverware"", ""Extra pillows and blankets"", ""Free street parking"", ""Hangers"", ""Dining table"", ""Laundromat nearby"", ""Portable fans"", ""30 inch HDTV with Netflix"", ""Shared backyard \u2013 Fully fenced"", ""Trader Joes conditioner"", ""Smoke alarm"", ""Dedicated workspace"", ""Kitchenette"", ""Coffee"", ""Portable heater"", ""Microwave"", ""Essentials"", ""Luggage dropoff allowed"", ""Wifi"", ""Pets allowed"", ""Outdoor furniture"", ""First aid kit"", ""Iron""]",,1,14,1,3,14,14,1.0,14.0,,t,0,0,0,0,2024-06-25,804,127,9,2016-08-07,2024-06-14,4.98,4.99,5.0,4.99,4.99,4.94,4.93,,f,1,1,0,0,8.38
12588161,https://www.airbnb.com/rooms/12588161,20240625175528,2024-06-25,city scrape,Home away from home,"Right in the beautiful heart of Salem, Close to downtown.<br />Quiet neighborhood on a cul-de-sac.<br />Full kitchen available if needed for occasional use. <br />Room includes a full size bed, 40"" TV, microwave, small fridge, utensils, dishes, full length mirror, iron, Keurig coffee bar, walk in closet, work space and a lounge chair.",Very quiet & in a perfect location for quick drive to most anything needed. Nice park few blocks away. Neighbors I do not see much.,https://a0.muscache.com/pictures/444b0f05-07e6-4dce-a8f3-fc88cbbbee6e.jpg,68279432,https://www.airbnb.com/users/show/68279432,Sharon,2016-04-21,"Salem, OR",I keep very busy in and out of the house. enjoy family time. love outdoors and adventures.,within an hour,100%,100%,t,https://a0.muscache.com/im/pictures/user/User-68279432/original/00c8b712-9c5f-4b6d-831c-3aadad1a247a.jpeg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/User-68279432/original/00c8b712-9c5f-4b6d-831c-3aadad1a247a.jpeg?aki_policy=profile_x_medium,,1,1,"['email', 'phone']",t,t,Neighborhood highlights,Ward 2,,44.91142,-123.03245,Private room in home,Private room,1,1.0,1 shared bath,1,1,"[""Bed linens"", ""Coffee maker"", ""Wine glasses"", ""Dryer"", ""Exterior security cameras on property"", ""Freezer"", ""Kitchen"", ""Oven"", ""Blender"", ""Outdoor dining area"", ""Carbon monoxide alarm"", ""Body soap"", ""Ceiling fan"", ""EV charger"", ""Drying rack for clothing"", ""Refrigerator"", ""Self check-in"", ""Cleaning products"", ""Bathtub"", ""Sun loungers"", ""Fire extinguisher"", ""Hot water"", ""Washer"", ""Stove"", ""Dishwasher"", ""Baking sheet"", ""Air conditioning"", ""Toaster"", ""Shampoo"", ""Books and reading material"", ""Shower gel"", ""Mini fridge"", ""Hair dryer"", ""Dishes and silverware"", ""Extra pillows and blankets"", ""TV"", ""Free street parking"", ""Hangers"", ""Long term stays allowed"", ""Portable fans"", ""Backyard"", ""Clothing storage"", ""Smoke alarm"", ""Dedicated workspace"", ""Conditioner"", ""Coffee"", ""Microwave"", ""Essentials"", ""Luggage dropoff allowed"", ""Cooking basics"", ""Wifi"", ""Smart lock"", ""Heating"", ""Free parking on premises"", ""Outdoor furniture"", ""Patio or balcony"", ""First aid kit"", ""Iron"", ""Hot water kettle""]",$42.00,3,1125,3,3,1125,1125,3.0,1125.0,,t,3,33,50,323,2024-06-25,89,7,1,2016-05-01,2024-06-16,4.89,4.97,4.97,4.95,4.92,4.91,4.93,,f,1,0,1,0,0.90
13620753,https://www.airbnb.com/rooms/13620753,20240625175528,2024-06-25,city scrape,Private Suite 5 mins to Downtown /60 mins to Coast,"Welcome to your Home away from Home!<br />We surrounded by gardens, fields of flowers, vineyards and green pastures. The city is perfectly located an hour from the ocean and an hour from the Cascade Mountains.<br /><br />Our place is close to family-friendly activities and restaurants and dining. You’ll love my place because of the outdoors space and the neighborhood. My place is good for couples, solo adventurers, business travelers, and families (with kids). It is located in a safe and quiet neighborhood.",Our home is located on a quiet cul-de-sac and very safe neighborhood.,https://a0.muscache.com/pictures/miso/Hosting-13620753/original/ecdc3081-f445-4e1e-87d2-cfa6831bc300.jpeg,78890374,https://www.airbnb.com/users/show/78890374,Bob & Delia,2016-06-20,"Salem, OR","Along with my husband Bob, we started our Airbnb back in 2016. Bob was originally from Southern California. I was born and raised in the Philippines and moved to United States in 2007. We started dating in 2011 and finally tie the knot in 2017.  

We are both working for the State of Oregon, I am an Accountant and my husband, Bob is a Regulatory Manager. 

We love to travel and meet new people - explore new countries learn their culture! We also both enjoy being in the water - snorkeling and scuba diving. Our favorite destinations are the Philippines, Hawaii and Mexico. During our free time, we try new local restaurants and breweries, hike and camp around the Oregon Coast. We love connecting with new people and sharing stories.

We're sincerely happy to host you. Our goal is to give the best and most relaxing stay and memorable experience during your stay.",within an hour,100%,99%,t,https://a0.muscache.com/im/pictures/user/User-78890374/original/7d470ae0-f7ab-4837-aabf-a752b0be0eb7.jpeg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/User-78890374/original/7d470ae0-f7ab-4837-aabf-a752b0be0eb7.jpeg?aki_policy=profile_x_medium,,1,2,"['email', 'phone', 'work_email']",t,t,Neighborhood highlights,Ward 8,,44.96082,-123.06966,Private room in home,Private room,4,1.0,1 private bath,1,2,"[""Bed linens"", ""Coffee maker"", ""Wine glasses"", ""Clothing storage: dresser"", ""Exterior security cameras on property"", ""Free driveway parking on premises"", ""Liquid Body Soap body soap"", ""Room-darkening shades"", ""Carbon monoxide alarm"", ""Keypad"", ""Refrigerator"", ""Self check-in"", ""Cleaning products"", ""Bathtub"", ""70 inch HDTV with premium cable, standard cable"", ""Fire extinguisher"", ""Hot water"", ""Toaster"", ""Shampoo"", ""Books and reading material"", ""Shower gel"", ""Ethernet connection"", ""Mini fridge"", ""Hair dryer"", ""Dishes and silverware"", ""Extra pillows and blankets"", ""Free street parking"", ""Hangers"", ""Long term stays allowed"", ""Dining table"", ""Portable fans"", ""Smoke alarm"", ""Dedicated workspace"", ""Kitchenette"", ""Coffee"", ""Board games"", ""Microwave"", ""Lock on bedroom door"", ""Essentials"", ""Children\u2019s books and toys"", ""Fast wifi \u2013 77 Mbps"", ""Central air conditioning"", ""Heating"", ""Iron"", ""Private living room""]",$74.00,1,1125,1,1,1125,1125,1.0,1125.0,,t,21,37,57,237,2024-06-25,581,80,8,2016-07-05,2024-06-22,4.96,4.94,4.98,4.97,4.98,4.94,4.95,,f,1,0,1,0,5.98
13960938,https://www.airbnb.com/rooms/13960938,20240625175528,2024-06-25,city scrape,"2 Bedrooms/Private Entry/Private Bath, S Salem","Our place is a 4-bedroom, 3-bath ranch house in South Salem. AirBnb space is pretty basic— a place to sleep, take shower, and relax. It’s partitioned from our living space. It’s clean, quiet, and safe. Air conditioning and heating. <br />Self check-in thru garage via a keyless pad. High speed internet. No Cleaning fee. No TV.  No smoking. No pets. <br /><br />A family of two lives in the house plus Ellie and Gus, dog and kitty. Our pets are off limits in the Airbnb space. <br /><br />Oregon License #: 18-124455-LI","The neighborhood is a quiet established residential area. Quick and easy access to downtown Salem, I-5, Costco, the beautiful Oregon coast, Silver Falls State Park, Riverfront Park, Minto Brown and Bush Parks. There is a community park two houses down from our house. Walking distance to restaurants, coffee shops, pubs, and grocery stores.",https://a0.muscache.com/pictures/3072f693-6570-4c8a-81f3-66f3b33454f8.jpg,19196434,https://www.airbnb.com/users/show/19196434,Maria,2014-07-30,"Salem, OR","I am pretty easygoing, warm, and enjoy company. I love hiking,  gardening, yoga, and exploring places far and near.  And yes, that's Mount Hood behind my profile picture.  ",within an hour,100%,100%,t,https://a0.muscache.com/im/pictures/user/0e495a7e-dcb9-49e0-b6d3-dd5ce8c35703.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/0e495a7e-dcb9-49e0-b6d3-dd5ce8c35703.jpg?aki_policy=profile_x_medium,,1,2,"['email', 'phone']",t,t,Neighborhood highlights,Ward 7,,44.90192,-123.05814,Private room in home,Private room,3,1.0,1 private bath,2,2,"[""Bed linens"", ""Coffee maker"", ""Carbon monoxide alarm"", ""Keypad"", ""Refrigerator"", ""Self check-in"", ""Single level home"", ""Heating - split type ductless system"", ""Fire extinguisher"", ""Hot water"", ""Shared patio or balcony"", ""Private entrance"", ""Shampoo"", ""Shower gel"", ""Hair dryer"", ""Dishes and silverware"", ""Extra pillows and blankets"", ""Free street parking"", ""Hangers"", ""Long term stays allowed"", ""Backyard"", ""Smoke alarm"", ""Dedicated workspace"", ""Microwave"", ""Essentials"", ""Luggage dropoff allowed"", ""Wifi"", ""Free parking on premises"", ""First aid kit"", ""Iron"", ""Private living room""]",$61.00,3,30,3,3,1125,1125,3.0,1125.0,,t,16,39,69,249,2024-06-25,246,30,3,2016-08-28,2024-06-16,4.87,4.91,4.93,4.97,4.96,4.95,4.93,,f,1,0,1,0,2.58
14017093,https://www.airbnb.com/rooms/14017093,20240625175528,2024-06-25,previous scrape,"Nurses! Room+ near Bush Park, University, Hospital","Walking distance to Salem Hospital! <br /><br />One bedroom with queen bed and a separate living room in our finished basement. Perfect living space for nurses working at Salem Hospital. <br /><br />Also close to major institutions for the commuter, student, or visiting family. Willamette University, the Capitol, and Salem Hospital are about 1 mile away and are walkable through Bush Park. Oregon State Hospital is only 3 miles away on surface streets.","Our neighborhood is old and beautiful! Quiet, friendly, and safe. I love to walk the tree shaded streets among the historic homes. <br /><br />There are two mini markets and a donut shop in 5 minutes walking distance. A Chinese and Mexican restaurant about the same, and two grocery stores 10 minutes walking.<br /><br />By car, there is about everything you need in just a few minutes. <br /><br />Downtown Salem is only about one and a half miles away where there is shopping and a variety of restaurants. From downtown, the Willamette River, River Front Park, and Gerry Frank Amphitheater are extremely close. <br /><br />Bush Park is a peaceful 5 minute walk away. There are public access tennis courts, a running trail around the park, soccer and baseball fields, tree groves, and Pringle Creek runs through. You can spend hours exploring the grounds which are across the street from Willamette University and the state Capitol. <br /><br />Nearby is also the Historic Pioneer Cemetery, establis",https://a0.muscache.com/pictures/fe318eee-8e75-4b89-aa5e-fddead0e382d.jpg,74488167,https://www.airbnb.com/users/show/74488167,Casey,2016-05-28,"Salem, OR","",N/A,N/A,100%,t,https://a0.muscache.com/im/pictures/user/53a8554c-8a39-4408-b231-66ab98991699.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/53a8554c-8a39-4408-b231-66ab98991699.jpg?aki_policy=profile_x_medium,,1,1,"['email', 'phone']",t,t,Neighborhood highlights,Ward 2,,44.9213,-123.03834,Private room in home,Private room,2,,1 shared bath,,,"[""Coffee maker: Keurig coffee machine"", ""Bed linens"", ""Freezer"", ""Carbon monoxide alarm"", ""Body soap"", ""Clothing storage: wardrobe"", ""Refrigerator"", ""Bathtub"", ""Fire extinguisher"", ""Hot water"", ""Shampoo"", ""Books and reading material"", ""Mini fridge"", ""Hair dryer"", ""Free dryer \u2013 In building"", ""Radiant heating"", ""Dishes and silverware"", ""Extra pillows and blankets"", ""Free street parking"", ""Hangers"", ""Dining table"", ""TV with Chromecast, Amazon Prime Video, Disney+, HBO Max, Netflix"", ""Smoke alarm"", ""Microwave"", ""Essentials"", ""Wifi"", ""Free parking on premises"", ""Host greets you"", ""First aid kit"", ""Iron"", ""Central heating"", ""Private living room"", ""Free washer \u2013 In building"", ""Hot water kettle""]",,1,1125,1,1,1125,1125,1.0,1125.0,,t,0,0,0,0,2024-06-25,240,14,0,2016-07-18,2023-10-16,4.95,4.97,4.97,4.99,4.99,4.97,4.95,,f,1,0,1,0,2.48
